discovery_date,release_date,artists,album,album_type,total_tracks,spotify_url,image_url,spotify_id
2026-04-13,2026-04-13,DJ King Fyah,Hip Hop Gen. 1,Album,15,https://open.spotify.com/album/4LxVXYzJ5AqfbffTKxy4ZK,https://i.scdn.co/image/ab67616d0000b2731692bfd491b8db46f5ba0a8b,4LxVXYzJ5AqfbffTKxy4ZK
2026-04-13,2026-04-13,Trett McCrick,Hip Hop Happy,Single,1,https://open.spotify.com/album/20m3A5YZjhbbUoA4athFg6,https://i.scdn.co/image/ab67616d0000b273a7bd7655d88459af70a6035e,20m3A5YZjhbbUoA4athFg6
